Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2023-01-01T18:30:00.000Z,2092.9,2097.6,2075.05,2089.45,0.17,0.06,"8,07,344"
2023-01-02T18:30:00.000Z,2088,2096.8,2067.95,2088.95,-0.02,-0.14,"12,60,225"
2023-01-03T18:30:00.000Z,2090.95,2101.45,2058,2070.55,-0.88,-0.99,"10,15,547"
2023-01-04T18:30:00.000Z,2080,2099.2,2068.5,2087.35,0.81,0.7,"18,81,403"
2023-01-05T18:30:00.000Z,2090.2,2121.7,2071.85,2086.55,-0.04,-0.15,"18,77,917"
2023-01-08T18:30:00.000Z,2108,2127.3,2100.75,2121.7,1.68,1.57,"18,44,365"
2023-01-09T18:30:00.000Z,2131.9,2131.9,2097.2,2106.65,-0.71,-0.82,"14,25,414"
2023-01-10T18:30:00.000Z,2106.1,2140,2097.1,2125.35,0.89,0.78,"14,55,621"
2023-01-11T18:30:00.000Z,2118.1,2164.65,2118.1,2159.75,1.62,1.51,"27,26,901"
2023-01-12T18:30:00.000Z,2161.9,2164.85,2117.2,2153.4,-0.29,-0.41,"21,80,210"
2023-01-15T18:30:00.000Z,2147,2161,2132.3,2137.2,-0.75,-0.86,"10,09,649"
2023-01-16T18:30:00.000Z,2139.9,2217.8,2136.4,2213.1,3.55,3.44,"46,45,453"
2023-01-17T18:30:00.000Z,2221,2274.8,2200,2266.5,2.41,2.3,"40,90,049"
2023-01-18T18:30:00.000Z,2259.85,2283.8,2241,2273.1,0.29,0.18,"21,76,835"
2023-01-19T18:30:00.000Z,2282.45,2297.65,2238.45,2249.95,-1.02,-1.13,"19,62,410"
2023-01-22T18:30:00.000Z,2255,2273.3,2227,2233.5,-0.73,-0.84,"14,66,706"
2023-01-23T18:30:00.000Z,2244.7,2252.3,2200,2207.5,-1.16,-1.28,"10,36,962"
2023-01-24T18:30:00.000Z,2201,2205,2155,2174.7,-1.49,-1.6,"21,34,447"
2023-01-26T18:30:00.000Z,2174.7,2195,2127.1,2159.85,-0.68,-0.79,"16,47,900"
